order_id,customer_id,order_date,order_status,total_amount
1,18171,2023-06-02 03:15:19,completed,12243.94
2,1557,2023-06-23 22:01:38,completed,7898.76
3,19814,2023-06-22 09:53:35,cancelled,10737.08
4,6372,2023-06-19 19:50:54,shipped,477.1
5,18282,2023-06-14 19:44:01,completed,10264.44
6,4540,2023-06-21 07:57:33,pending,9074.34
7,8718,2023-06-22 04:27:42,completed,10906.22
8,13064,2023-06-09 06:49:17,completed,3513.03
9,12757,2023-06-14 19:25:58,completed,3698.72
10,1835,2023-06-02 02:24:33,pending,7493.23
11,13473,2023-06-28 18:28:41,pending,1638.13
12,12804,2023-06-15 14:38:18,completed,7478.84
13,17170,2023-06-03 08:01:25,pending,1831.4
14,17849,2023-06-30 12:06:29,shipped,4135.37
15,3974,2023-06-18 18:22:24,completed,13999.57
16,8197,2023-06-02 07:28:13,shipped,7874.17
17,6337,2023-06-27 05:06:40,completed,10435.89
18,11092,2023-06-22 10:26:01,completed,5414.36
19,74,2023-06-28 00:23:48,completed,1563.97
20,3438,2023-06-25 10:34:28,pending,13543.56
21,8799,2023-06-18 18:34:49,completed,7591.29
22,19980,2023-06-10 19:21:54,completed,3789.72
23,11697,2023-06-23 20:28:05,shipped,2486.22
24,2081,2023-06-09 12:49:04,cancelled,8648.36
25,1252,2023-06-17 18:12:31,cancelled,6138.81
26,1256,2023-06-11 21:29:36,completed,149.86
27,6427,2023-06-13 14:37:25,completed,11323.63
28,11072,2023-06-30 10:11:34,cancelled,9521.73
29,12820,2023-06-28 16:06:35,completed,4355.52
30,8576,2023-06-16 21:18:52,completed,11235.3
31,7734,2023-06-17 22:21:37,completed,3562.1
32,7098,2023-06-27 10:12:06,cancelled,9723.62
33,3576,2023-06-09 04:44:55,completed,1457.04
34,4314,2023-06-16 17:03:38,cancelled,3851.22
35,4485,2023-06-28 11:25:10,shipped,13164.85
36,10399,2023-06-24 18:27:23,cancelled,10089.81
37,7606,2023-06-21 07:37:41,completed,1892.84
38,5969,2023-06-21 13:35:47,pending,9601.74
39,9591,2023-06-15 20:50:28,pending,5070.41
40,5665,2023-06-03 16:13:51,cancelled,1812.59
41,9990,2023-06-29 20:00:40,pending,2009.46
42,6684,2023-06-14 08:31:10,cancelled,12122.23
43,8705,2023-06-24 11:35:40,completed,6266.75
44,15361,2023-06-23 14:07:41,completed,9239.59
45,19176,2023-06-24 13:51:20,completed,3391.17
46,15173,2023-06-09 13:07:31,cancelled,3164.14
47,6121,2023-06-20 18:28:00,completed,9613.42
48,3230,2023-06-05 04:01:51,completed,3452.03
49,12197,2023-06-15 11:43:13,pending,6675.25
50,18804,2023-06-27 18:54:50,completed,4196.4
51,16757,2023-06-07 15:17:41,completed,6589.04
52,15289,2023-06-30 22:29:26,cancelled,6130.08
53,1046,2023-06-05 05:02:07,completed,4981.2
54,9879,2023-06-22 05:29:41,cancelled,1617.94
55,4608,2023-06-22 12:40:33,shipped,5613.75
56,19380,2023-06-05 00:53:52,completed,6430.41
57,7500,2023-06-16 00:49:06,shipped,187.44
58,4271,2023-06-13 09:48:59,completed,317.03
59,7564,2023-06-12 19:10:30,completed,6933.6
60,11220,2023-06-17 20:57:06,completed,7857.46
61,13868,2023-06-19 20:28:23,shipped,7350.7
62,90,2023-06-27 08:29:27,completed,12241.76
63,14673,2023-06-26 23:42:23,completed,6282.47
64,6441,2023-06-07 12:11:07,completed,13204.57
65,14336,2023-06-30 14:59:16,shipped,7710.25
66,2223,2023-06-11 20:37:01,cancelled,2807.46
67,19188,2023-06-01 23:41:16,completed,13803.79
68,2134,2023-06-16 20:14:41,completed,5824.08
69,6912,2023-06-25 10:27:11,cancelled,7369.71
70,15098,2023-06-07 14:03:32,shipped,7689.44
71,19513,2023-06-25 19:36:32,completed,4243.29
72,11668,2023-06-04 14:56:56,completed,1125.15
73,5893,2023-06-11 15:42:05,shipped,10860.09
