payment_id,order_id,payment_method,payment_status,payment_date,payment_amount
1,1,credit_card,paid,2023-06-04 01:15:19,12243.94
2,2,apple_pay,paid,2023-06-25 13:01:38,7898.76
3,3,bank_transfer,failed,2023-06-23 17:53:35,10737.08
4,4,apple_pay,paid,2023-06-20 22:50:54,477.1
5,5,paypal,paid,2023-06-16 09:44:01,10264.44
6,6,bank_transfer,pending,2023-06-23 07:57:33,9074.34
7,7,google_pay,paid,2023-06-22 16:27:42,10906.22
8,8,apple_pay,paid,2023-06-09 16:49:17,3513.03
9,9,credit_card,paid,2023-06-14 23:25:58,3698.72
10,10,google_pay,pending,2023-06-03 18:24:33,7493.23
11,11,credit_card,pending,2023-06-29 11:28:41,1638.13
12,12,apple_pay,paid,2023-06-16 20:38:18,7478.84
13,13,paypal,pending,2023-06-03 18:01:25,1831.4
14,14,bank_transfer,paid,2023-07-02 06:06:29,4135.37
15,15,google_pay,paid,2023-06-19 12:22:24,13999.57
16,16,credit_card,paid,2023-06-02 17:28:13,7874.17
17,17,google_pay,paid,2023-06-27 19:06:40,10435.89
18,18,paypal,paid,2023-06-23 17:26:01,5414.36
19,19,credit_card,paid,2023-06-28 10:23:48,1563.97
20,20,google_pay,pending,2023-06-26 15:34:28,13543.56
21,21,google_pay,paid,2023-06-19 21:34:49,7591.29
22,22,google_pay,paid,2023-06-12 11:21:54,3789.72
23,23,paypal,paid,2023-06-25 14:28:05,2486.22
24,24,bank_transfer,refunded,2023-06-09 20:49:04,8648.36
25,25,google_pay,failed,2023-06-19 16:12:31,6138.81
26,26,bank_transfer,paid,2023-06-12 08:29:36,149.86
27,27,apple_pay,paid,2023-06-14 11:37:25,11323.63
28,28,paypal,failed,2023-06-30 16:11:34,9521.73
29,29,google_pay,paid,2023-06-29 16:06:35,4355.52
30,30,apple_pay,paid,2023-06-17 04:18:52,11235.3
31,31,credit_card,paid,2023-06-18 17:21:37,3562.1
32,32,google_pay,failed,2023-06-27 11:12:06,9723.62
33,33,google_pay,paid,2023-06-10 04:44:55,1457.04
34,34,google_pay,refunded,2023-06-18 02:03:38,3851.22
