shipment_id,order_id,shipment_status,shipment_provider,shipped_date,delivered_date
1,1,delivered,FedEx,2025-06-22 04:42:02,2025-06-27 04:42:02
2,2,cancelled,,,
3,3,processing,InPost,,
4,4,processing,UPS,,
5,5,processing,InPost,,
6,6,cancelled,,,
7,7,processing,FedEx,,
8,8,delivered,FedEx,2025-11-03 08:57:09,2025-11-04 08:57:09
9,9,cancelled,,,
10,10,shipped,DPD,2026-01-01 05:08:39,
11,11,processing,DHL,,
12,12,cancelled,,,
13,13,processing,FedEx,,
14,14,shipped,DPD,2025-11-04 14:13:16,
15,15,processing,DPD,,
16,16,shipped,FedEx,2025-10-05 22:38:08,
17,17,shipped,FedEx,2025-07-07 23:18:18,
18,18,delivered,FedEx,2025-12-19 09:39:16,2025-12-27 09:39:16
19,19,cancelled,,,
20,20,cancelled,,,
21,21,shipped,FedEx,2025-12-16 03:06:15,
22,22,processing,FedEx,,
23,23,shipped,InPost,2026-04-22 14:32:16,
24,24,delivered,FedEx,2026-03-27 18:50:06,2026-04-03 18:50:06
25,25,processing,InPost,,
26,26,delivered,DPD,2025-11-15 00:48:04,2025-11-25 00:48:04
27,27,delivered,UPS,2026-04-23 10:10:35,2026-04-28 10:10:35
28,28,delivered,DPD,2026-01-27 06:28:07,2026-02-02 06:28:07
29,29,cancelled,,,
30,30,delivered,FedEx,2025-09-18 05:59:45,2025-09-19 05:59:45
31,31,processing,DHL,,
32,32,cancelled,,,
33,33,delivered,DHL,2026-02-01 23:43:28,2026-02-03 23:43:28
34,34,cancelled,,,
35,35,delivered,DPD,2025-11-11 16:01:22,2025-11-16 16:01:22
36,36,delivered,InPost,2026-01-30 07:46:12,2026-02-09 07:46:12
37,37,cancelled,,,
38,38,processing,FedEx,,
39,39,delivered,UPS,2025-08-02 04:11:12,2025-08-09 04:11:12
40,40,shipped,UPS,2025-11-28 04:19:46,
41,41,delivered,DHL,2025-12-24 17:41:25,2025-12-26 17:41:25
42,42,cancelled,,,
43,43,processing,DHL,,
44,44,shipped,DHL,2025-08-29 23:41:04,
45,45,delivered,UPS,2026-02-03 02:47:16,2026-02-13 02:47:16
46,46,processing,InPost,,
47,47,shipped,DHL,2025-10-11 08:18:00,
48,48,shipped,UPS,2026-01-19 20:14:33,
49,49,delivered,DPD,2026-03-24 12:27:11,2026-03-31 12:27:11
50,50,delivered,FedEx,2025-11-16 02:02:55,2025-11-18 02:02:55
51,51,processing,FedEx,,
52,52,delivered,InPost,2026-04-08 00:26:42,2026-04-15 00:26:42
53,53,shipped,FedEx,2025-07-27 20:02:31,
54,54,processing,DHL,,
55,55,cancelled,,,
56,56,cancelled,,,
57,57,processing,DPD,,
58,58,cancelled,,,
59,59,delivered,DHL,2026-03-21 19:25:57,2026-03-28 19:25:57
60,60,delivered,DHL,2026-02-23 00:52:42,2026-03-04 00:52:42
61,61,processing,UPS,,
62,62,delivered,UPS,2026-03-28 15:19:13,2026-03-31 15:19:13
63,63,shipped,UPS,2025-12-05 02:08:38,
64,64,delivered,DPD,2026-05-02 07:07:53,2026-05-07 07:07:53
65,65,processing,FedEx,,
66,66,delivered,DPD,2025-05-29 07:36:07,2025-06-04 07:36:07
67,67,delivered,InPost,2025-08-31 14:52:06,2025-09-01 14:52:06
68,68,processing,DHL,,
69,69,shipped,InPost,2025-06-28 01:46:55,
70,70,cancelled,,,
71,71,processing,DHL,,
72,72,delivered,DHL,2026-03-01 06:49:40,2026-03-02 06:49:40
73,73,delivered,FedEx,2025-05-20 19:00:13,2025-05-28 19:00:13
74,74,processing,InPost,,
75,75,delivered,DPD,2025-06-23 04:26:51,2025-06-24 04:26:51
76,76,delivered,DPD,2025-11-04 21:42:23,2025-11-10 21:42:23
